ID,Glider,Model,Manufacturer,Competition Class,Kind,Wingarea,Empty Weight,Reference Mass,MTOW,Min Speed,Polar Coeffs,Double Seater,Exclude Live,Vintage,Self-Launcher,2016,2017,2018,2019,2020,2021,2022,2023,2024
33,LS 6,LS 6 neo,Rolladen-Schneider,15,GL,10.5,260.0,355.0,525.0,71.60,-0.0000001:0.0000311:-0.0044236:0.1557020:-2.1974432,,,,,112,112,112,112,112,112,112,112,112
34,ASW 20,ASW 20,Alexander Schleicher,15,GL,10.5,280.0,360.15,525.0,71.00,-0.0000017:0.0002603:-0.0163651:0.4233258:-4.3895851,,,,,110,110,110,110,110,110,110,110,110
35,DG 600,DG 600,DG Flugzeugbau,15,GL,10.95,255.0,327.0,525.0,80.00,-0.0016416:0.0715200:-1.3200000,,,,,110,110,110,110,110,110,110,110,110
36,DG 600,DG 600M,DG Flugzeugbau,15,MG,10.95,305.0,327.0,525.0,80.00,-0.0016416:0.0715200:-1.3200000,,,,x,110,110,110,110,110,110,110,110,110
37,Glasflügel 304,Glasflügel 304,Glasflügel,15,GL,9.88,235.0,353.7,450.0,71.00,-0.0000003:0.0000655:-0.0066090:0.2203565:-2.9116963,,,,,110,110,110,110,110,110,110,110,110
38,HpH 304 CZ,HpH 304 CZ,HpH Sailplanes,15,GL,9.88,235.0,310.0,450.0,95.03,-0.0036015:0.2342856:-4.6690020,,,,,110,110,110,110,110,110,110,110,110
40,Ventus 15m,Ventus a 15m,Schempp-Hirth,15,GL,9.51,250.0,332.85,525.0,72.00,0.0000002:-0.0000076:-0.0022592:0.1112933:-1.9115972,,,,,110,110,110,110,110,110,110,111,111
41,Ventus 15m,Ventus b 15m,Schempp-Hirth,15,GL,9.51,250.0,332.85,525.0,71.00,0.0000014:-0.0001708:0.0053155:-0.0360554:-0.9066281,,,,,110,110,110,110,110,110,110,110,110
42,Ventus 15m,Ventus bT 15m,Schempp-Hirth,15,MG,9.51,300.0,332.85,525.0,71.00,0.0000014:-0.0001708:0.0053155:-0.0360554:-0.9066281,,,,,110,110,110,110,110,110,110,110,110
43,Ventus 15m,Ventus cM 15m,Schempp-Hirth,15,MG,9.51,308.0,379.0,430.0,76.00,-0.0000098:0.0014247:-0.0783808:1.8821403:-17.1596910,,,,x,110,110,110,110,110,110,110,110,110
44,Ventus 15m,Ventus cT 15m,Schempp-Hirth,15,MG,9.51,258.0,379.0,430.0,76.00,-0.0000098:0.0014247:-0.0783808:1.8821403:-17.1596910,,,,,110,110,110,110,110,110,110,110,110
45,ASW 20 Top 15m,ASW 20 Top 15m,Alexander Schleicher,15,MG,10.5,320.0,371.14,525.0,71.00,-0.0000017:0.0002603:-0.0163651:0.4233258:-4.3895851,,,,x,108,108,108,108,108,108,108,108,108
46,SB 11,SB 11,Akaflieg Braunschweig,15,GL,10.56,295.0,385.44,470.0,68.00,-0.0000015:0.0002081:-0.0122332:0.3031120:-3.2958980,,,,,108,108,108,108,108,108,108,108,108
47,fs 32,fs 32,Akaflieg Stuttgart,15,GL,9.94,285.0,388.654,500.0,69.00,-0.0000020:0.0002903:-0.0173757:0.4444751:-4.6488348,,,,,108,108,108,108,108,108,108,108,108
48,DG 200,DG 200,DG Flugzeugbau,15,GL,10.0,230.0,340.0,450.0,69.00,0.0000004:-0.0000251:-0.0024496:0.1351137:-2.2573517,,,,,107,107,107,107,107,107,107,107,107
49,DG 400,DG 400,DG Flugzeugbau,15,MG,10.0,306.0,440.0,,95.00,-0.0015831:0.0847941:-1.8532120,,,,x,107,107,107,107,107,107,107,107,107
50,LS 3,LS 3,Rolladen-Schneider,15,GL,10.5,270.0,372.75,472.0,72.00,-0.0000038:0.0005210:-0.0279720:0.6474645:-5.9972768,,,,,107,107,107,107,107,107,107,107,107
51,LS 3,LS 3a,Rolladen-Schneider,15,GL,10.5,243.0,342.3,472.0,68.00,0.0000002:0.0000015:-0.0035899:0.1552770:-2.3706120,,,,,107,107,107,107,107,107,107,107,107
52,Mini Nimbus,Mini Nimbus,Schempp-Hirth,15,GL,9.86,235.0,335.24,450.0,69.00,-0.0000045:0.0006428:-0.0359882:0.8665906:-8.0644349,,,,,107,107,107,107,107,107,107,107,107
53,Mosquito,Mosquito,Glasflügel,15,GL,9.86,250.0,357.0,450.0,73.00,-0.0000014:0.0002028:-0.0124651:0.3265893:-3.6046119,,,,,107,107,107,107,107,107,107,107,107
54,D 40,D 40,Akaflieg Darmstadt,15,GL,9.5,284.0,388.55,500.0,69.00,-0.0000022:0.0003463:-0.0214168:0.5518232:-5.6193625,,,,,106,106,106,106,106,106,106,106,106
55,G 104 Speed Astir 2,G 104 Speed Astir 2,Grob Aircraft,15,GL,11.5,260.0,350.75,400.0,69.50,-0.0000043:0.0005906:-0.0319316:0.7452856:-6.8790331,,,,,105,105,105,105,105,105,105,105,105
56,PIK-20 D/E,PIK-20 D,Eiri-Avion,15,GL,10.0,235.0,325.0,450.0,67.00,-0.0000005:0.0001190:-0.0104576:0.3203923:-3.7813581,,,,,104,104,104,104,104,104,104,104,104
