ID,Glider,Model,Wingarea,Empty Mass,Reference Mass,MTOW,Polar,Min Speed
108,Discus 2c 18m,Discus 2c 18m,11.36,280.0,443.04,565.0,Discus_2C_DLR_18m.POL,
109,Discus 2c 18m,Discus 2cFES 18m,11.36,330.0,443.04,565.0,Discus_2C_DLR_18m.POL,
110,Discus 2c 18m,Discus 2cT 18m,11.36,330.0,443.04,565.0,Discus_2C_DLR_18m.POL,
568,Doppelraab,Doppelraab,18.0,185.0,,350.0,,
604,DuckHawk,DuckHawk,7.4,177.0,,435.0,,
231,Duo Banjo,Duo Banjo,,,,,,
348,Duo Discus,Duo Discus,16.4,440.0,596.96,750.0,DUODISCU.POL,
349,Duo Discus,Duo Discus T,16.4,490.0,596.96,750.0,DUODISCU.POL,
488,Duo Discus,Duo Discus WL,16.4,440.0,596.96,750.0,DUODISCU.POL,
489,Duo Discus,Duo Discus T WL,16.4,490.0,596.96,750.0,DUODISCU.POL,
510,Duo Discus X,Duo Discus X,16.4,440.0,596.96,750.0,DUODISCU.POL,
511,Duo Discus X,Duo Discus XT,16.4,490.0,596.96,750.0,DUODISCU.POL,
342,Duo Discus XL,Duo Discus XL,16.4,440.0,596.96,750.0,DUODISCU.POL,
343,Duo Discus XL,Duo Discus XLT,16.4,490.0,596.96,750.0,DUODISCU.POL,
552,Duo Discus XL,Duo Discus XL FES,16.4,490.0,596.96,750.0,DUODISCU.POL,
378,EB 28,EB 28,16.8,570.0,670.0,850.0,100.0:-0.46:120.0:-0.61:150.0:-0.96,
581,EB 28,EB 28 edition,16.5,570.0,670.0,850.0,100.0:-0.47:120.0:-0.63:150.0:-0.97,
369,EB 29,EB 29,16.5,580,700,900,-0.000804=0.0266=-0.55,80
370,EB 29,EB 29D,16.5,580,700,900,-0.000804=0.0266=-0.55,80
371,EB 29,EB 29DR,14.9,610,632,850,-0.000804=0.0266=-0.55,85
372,EB 29,EB 29R,14.9,610,632,850,-0.000804=0.0266=-0.55,85
155,Elfe,Elfe S3,11.9,230.0,315.35,320.0,ELFES3.POL,
156,Elfe,Elfe S4,11.9,261.0,327.25,354.0,ELFES4.POL,
268,Elfe 17m,Elfe 17m,13.3,270.0,,380.0,,
166,Elfe FG,Elfe FG,11.9,261.0,327.25,354.0,ELFES4.POL,
597,ES-56 Nymph,ES-56 Nymph,10.12,151.0,,241.0,,
373,Eta,Eta,18.6,710.0,950.0,970.0,ETA_D-KETA.POL,
253,Falkon,Falkon,10.66,240.0,344.32,450.0,FALCON.POL,
178,fs 24 Phönix,fs 24 Phönix,14.36,164.0,,265.0,,
179,fs 25,fs 25,8.54,150.0,244.244,250.0,FS25.POL,
282,fs 31,fs 31,17.76,440.0,529.248,560.0,FS31.POL,
47,fs 32,fs 32,9.94,285.0,388.654,500.0,FS32WL.POL,
350,fs 33,fs 33,14.43,408.5,587,640.0,100.0:-0.639:120.0:-0.782:150.0:-1.165,
152,G 102 Astir CS,G 102 Astir CS,12.4,255.0,359.6,450.0,ASTIRCS.POL,
153,G 102 Astir CS,G 102 Astir CS 77,12.4,255.0,359.6,450.0,ASTIRCS.POL,
173,G 102 Astir CS Jeans,G 102 Astir CS Jeans,12.4,255.0,368.28,450.0,JEANSAST.POL,
165,G 102 Astir CS Top,G 102 Astir CS Top,12.4,305.0,368.28,450.0,JEANSAST.POL,
180,G 102 Club Astir,G 102 Club Astir,12.4,255.0,342.224,450.0,G102CLUB.POL,
275,G 102 Std. Astir,G 102 Std. Astir,12.4,260.0,373.24,450.0,STASTIR2.POL,
295,G 103 Twin 2,G 103 Twin 2,17.52,390.0,580.0,580.0,99.0:-0.8:175.01:-1.95:225.02:-3.8,
281,G 103 Twin 3,G 103 Twin 3 20m,18.5,490.0,600.0,650.0,Twin3_20m.POL,
288,G 103 Twin 3,G 103 Twin 3 18m,17.52,460.0,567.65,600.0,TWINIII.POL,
290,G 103 Twin 3,G 103 Twin 3 SL 18m,17.52,460.0,567.65,600.0,TWINIII.POL,
580,G 103 Twin 3,G 103 Twin 3 SL 20m,18.5,490.0,600.0,650.0,Twin3_20m.POL,
291,G 103 Twin Astir RG,G 103 Twin Astir RG,17.8,490.0,605.2,650.0,TWINI.POL,
296,G 103 Twin Astir Trainer FG,G 103 Twin Astir Trainer FG,17.8,490.0,594.52,650.0,TWIN78.POL,
55,G 104 Speed Astir 2,G 104 Speed Astir 2,11.5,260.0,350.75,400.0,SPASTIRC_2.POL,
325,G 109,G 109,20.4,735.0,824.16,825.0,G109.POL,
321,G 109 B,G 109 B,20.4,735.0,824.16,825.0,G109.POL,
185,Geier,Geier,14.0,277.0,,370.0,,
471,Genesis,Genesis,11.24,240.0,374.0,525.0,94.0:-0.61:141.05:-1.18:172.4:-2.0,
37,Glasflügel 304,Glasflügel 304,9.88,235.0,353.7,450.0,H304.POL,
120,Glasflügel 304 17m,Glasflügel 304 17m,10.6,260.0,380.347,450.0,H30417.POL,
427,Glasflügel 604,Glasflügel 604,16.26,455.0,559.344,650.0,H604.POL,
423,Glasflügel 604 24m,Glasflügel 604 24m,,,,,,
193,Greif 2,Greif 2,13.70,216.0,,326.0,,
250,Grunau Baby,Grunau Baby,14.20,160.0,,250.0,,
216,H 30,H 30,8.35,120.0,213.76,210.0,H30.POL,
186,H-101 Salto,H-101 Salto,8.58,182.0,271.128,280.0,H101SALT.POL,
157,H-101 Salto 15.5m,H-101 Salto 15.5m,9.14,185.0,285.17,280.0,SALTO15M.POL,
59,H-301,H-301,9.5,180.0,283.1,300.0,H301.POL,
326,H36 Dimona,H36 Dimona,15.3,470.0,670.0,770.0,100.0:-1.29:120.0:-1.61:150.0:-2.45,
327,HK36 Super Dimona,HK36 Super Dimona,15.3,470.0,670.0,770.0,100.0:-1.29:120.0:-1.61:150.0:-2.45,
261,Hornet,Hornet WL,9.8,245.0,316.54,420.0,HORNETC.POL,
269,Hornet,Hornet,9.8,227.0,318.0,420.0,HORNETC.POL,
617,Hornet,Hornet C,9.8,227.0,318.0,450.0,HORNETC.POL,
38,HpH 304 CZ,HpH 304 CZ,9.88,235.0,356.0,450.0,-0.0020=0.0871=-1.5600,80.0
121,HpH 304 CZ 17.4m,HpH 304 CZ 17.4m,10.68,235.0,,450.0,,
80,HpH 304 Shark,HpH 304 ES Shark,11.8,360.0,425.2,600.0,HPH304_Shark_18m.POL,
81,HpH 304 Shark,HpH 304 MS Shark,11.8,360.0,425.2,600.0,HPH304_Shark_18m.POL,
82,HpH 304 Shark,HpH 304 S Shark,11.8,280.0,425.2,600.0,HPH304_Shark_18m.POL,
83,HpH 304 Shark,HpH 304 SJ Shark,11.8,310.0,425.2,600.0,HPH304_Shark_18m.POL,
341,HpH 304 TS Twin Shark,HpH 304 TS Twin Shark,15.3,495.0,688.5,850.0,ArcusT_2011.POL,
482,HpH 304C Wasp,HpH 304C Wasp,9.9,235.0,356,450.0,-0.001996=0.0871=-1.56,80.0
596,Hütter H28,Hütter H28,,,,,,
299,IS 28 B2,IS 28 B2,18.24,375.0,590.0,590.0,100.0:-0.82:160.0:-2.28:200.0:-4.27,
313,IS 28 M,IS 28 M,,,,,,
158,IS 29 D,IS 29 D,10.4,240.0,360.0,360.0,100.0:-0.82:135.67:-1.55:184.12:-3.3,
364,Janus 18.2m,Janus 18.2m,16.6,370.0,607.56,620.0,JANUS.POL,
357,Janus C FG,Janus C FG,17.4,405.0,593.34,700.0,JANUSC.POL,
358,Janus C FG,Janus CM FG,17.4,495.0,593.34,700.0,JANUSC.POL,
359,Janus C FG,Janus CT FG,17.4,455.0,593.34,700.0,JANUSC.POL,
525,Janus C RG,Janus C RG,17.4,405.0,593.34,700.0,JANUSC.POL,
526,Janus C RG,Janus CM RG,17.4,495.0,593.34,700.0,JANUSC.POL,
527,Janus C RG,Janus CT RG,17.4,455.0,593.34,700.0,JANUSC.POL,
61,JS1 18m,JS1 18m,11.1,320.0,436.33,600.0,VENTUS2ct_18_new.POL,
62,JS1 18m,JS1 TJ 18m,11.1,340.0,436.33,600.0,VENTUS2ct_18_new.POL,
398,JS1C 21m,JS1C 21m,12.25,350.0,610.0,720.0,JS-MD-1C-21m.POL,
399,JS1C 21m,JS1C TJ 21m,12.25,370.0,610.0,720.0,JS-MD-1C-21m.POL,
2,JS3 15m,JS3 15m,8.75,300,450,525,-0.001270=0.0666=-1.47,80
3,JS3 15m,JS3 RES 15m,8.75,350,450,525,-0.001270=0.0666=-1.47,80
4,JS3 15m,JS3 TJ 15m,8.75,350,450,525,-0.001270=0.0666=-1.47,80
63,JS3 18m,JS3 18m,9.95,310.0,525.0,600.0,JS-MD-3_18m.POL,
64,JS3 18m,JS3 RES 18m,9.95,330.0,525.0,600.0,JS-MD-3_18m.POL,
65,JS3 18m,JS3 TJ 18m,9.95,310.0,525.0,600.0,JS-MD-3_18m.POL,
509,K 7,K 7,17.5,375.0,465.5,480.0,K7.POL,
240,K 8,K 8,14.15,190.0,280.17,310.0,KA8.POL,
314,Ka 2,Ka 2,16.8,254.0,418.0,460.0,87.0:-0.9:120.0:-1.5:150.0:-2.6,
