ID,Glider,Models,Manufacturer,Competition Class,2016,2017,2018,2019,2020
72,Glasflügel 304 CZ 17.4m,Glasflügel 304 CZ 17.4m,18,112,112,112,112,112
73,ASW 20 Top 16.6m,ASW 20 Top 16.6m,Alexander Schleicher,18,110,110,110,110,110
74,Kestrel 17m,Kestrel 17m,18,110,110,110,110,110
75,DG 200 17m,DG 200 17m,18,109,109,109,109,109
76,DG 400 17m,DG 400 17m,18,109,109,109,109,109
77,LS 3 17m,LS 3 17m,18,109,109,109,109,109
78,Mosquito 17m,Mosquito 17m,18,109,109,109,109,109
79,BS 1,BS 1,18,108,108,108,108,108
80,D 36,D 36,18,108,108,108,108,108
81,Diamant 18m,Diamant 18m,18,108,108,108,108,108
82,Mü 26,Mü 26,18,102,102,102,102,102
83,Cobra 17m,Cobra 17m,18,100,100,100,100,100
84,Std. Libelle 17m,Std. Libelle 17m,18,100,100,100,100,100
85,Diana 2,Diana 2,15,114,116,116,116,115
86,JS3,JS3( FES| TJ)?,15,-,116,116,116,115
87,Ventus 3 15m,Ventus 3[FEM]? 15m,Schempp-Hirth,15,-,116,116,116,115
88,Ventus 2,Ventus 2(a|b|ax)?,Schempp-Hirth,15,114,114,114,114,114
89,Ventus 2c 15m,Ventus 2c[TM]? 15m,Schempp-Hirth,15,114,114,114,114,114
90,ASW 27,ASW 27,Alexander Schleicher,15,114,114,114,114,114
91,ASG 29,ASG 29( E| Es)?,Alexander Schleicher,15,114,114,114,114,114
92,Mü 31,Mü 31,15,114,114,114,114,114
93,DG 800 15m,DG 80[08] 15m,15,113,113,113,113,113
94,LAK 17 15m,LAK 17 15m,15,113,113,113,113,113
95,LS 10 15m,LS 10 15m,15,113,113,113,113,113
96,SZD 56 Diana,SZD 56 Diana,15,112,112,112,112,112
97,LS 6,LS 6,15,111,111,111,111,111
98,ASW 20,ASW 20,Alexander Schleicher,15,110,110,110,110,110
99,DG 600,DG 600M?,15,110,110,110,110,110
100,Glasflügel 304,Glasflügel 304 (CZ)?,15,110,110,110,110,110
101,Ventus 1,Ventus 1,Schempp-Hirth,15,110,110,110,110,110
102,Ventus 15m,Ventus( b| bT | cT | cM)? 15m,Schempp-Hirth,15,110,110,110,110,110
103,ASW 20 Top 15m,ASW 20 Top 15m,Alexander Schleicher,15,108,108,108,108,108
104,SB 11,SB 11,15,108,108,108,108,108
105,fs 32,fs 32,15,108,108,108,108,108
106,DG 200,DG 200,15,107,107,107,107,107
107,DG 400,DG 400,15,107,107,107,107,107
108,LS 3,LS 3a?,15,107,107,107,107,107
109,Mini Nimbus,Mini Nimbus,15,107,107,107,107,107
110,Mosquito,Mosquito,15,107,107,107,107,107
111,D 40,D 40,15,106,106,106,106,106
112,Speed Astir 2,Speed Astir 2,15,105,105,105,105,105
113,PIK-20 D/E,PIK-20 [DE],15,104,104,104,104,104
114,PIK-20 B,PIK-20 B,15,102,102,102,102,102
115,H-301,H-301,15,100,100,100,100,100
116,LS 2,LS 2,15,100,100,100,100,100
117,ASW 28,ASW 28( E)?,Alexander Schleicher,Standard,108,108,108,108,108
118,Discus 2,Discus 2(a|b|T|bT|c 15m|cT 15m)?,Schempp-Hirth,Standard,108,108,108,108,108
119,LAK 19 15m,LAK 19 15m,Standard,108,108,108,108,108
120,LS 8,LS 8(T|e neo| neo)?,Standard,108,108,108,108,108
121,AK 8,AK 8,Standard,107,107,107,107,107
122,ASW 24,ASW 24( B| E)?,Alexander Schleicher,Standard,107,107,107,107,107
123,Discus,Discus( a| b| bT| bM)?,Schempp-Hirth,Standard,107,107,107,107,107
124,Genesis,Genesis,Standard,107,107,107,107,107
125,LS 7,LS 7,Standard,107,107,107,107,107
126,SZD 55,SZD 55,Standard,106,106,106,106,106
127,DG 303,DG 303,Standard,105,105,105,105,105
128,AFH 24,AFH 24,Standard,104,104,104,104,104
129,DG 300,DG 300,Standard,104,104,104,104,104
130,Glasflügel 304C,Glasflügel 304C,Standard,104,104,104,104,104
131,LS 4,LS 4[ab]?,Standard,104,104,104,104,104
132,Falkon,Falkon,Club,103,103,103,103,103
133,LS 3 Std,LS 3 Std,Club,103,103,103,103,103
134,SB 12,SB 12,Club,103,103,103,103,102
135,mini LAK-FES,mini LAK-FES,Club,-,103,105,105,103
136,AK 5,AK 5,Club,102,102,102,102,102
137,Cirrus B 18.34m,Cirrus B 18.34m,Schempp-Hirth,Club,102,102,102,102,102
138,DG 300 FG,DG 300 FG,Club,102,102,102,102,102
139,Pegase,Pegase,Club,102,102,102,102,102
140,ASW 19,ASW 19,Alexander Schleicher,Club,100,100,100,100,100
141,Cirrus,Cirrus( VTC 17.74m)?,Schempp-Hirth,Club,100,100,100,100,100
142,D 37,D 37,Club,100,100,100,100,100
143,DG 100,DG 100,Club,100,100,100,100,100
144,Elfe 17m,Elfe 17m,Club,100,100,100,100,100
145,Hornet,Hornet,Club,100,100,100,100,100
146,LS 1-e/f,LS 1-[ef],Club,100,100,100,100,100
147,Phöbus B3/C,Phöbus( B3| C),Club,100,100,100,100,100
148,Std. Astir,Std. Astir,Club,100,100,100,100,100
149,Std. Cirrus 16m,Std. Cirrus 16m,Schempp-Hirth,Club,100,100,100,100,100
150,Std. Jantar,Std. Jantar,Club,100,100,100,100,100
151,SZD 59,SZD 59,Club,100,100,100,100,100
152,Std. Cirrus,Std. Cirrus,Schempp-Hirth,Club,99,99,99,99,99
153,Apis 2,Apis 2( M| MCs)? 15m,Club,98,98,98,98,98
154,ASW 19 Club,ASW 19 Club,Alexander Schleicher,Club,98,98,98,98,98
155,Bee,Bee,Club,98,98,98,98,98
156,Cobra 15m,Cobra 15m,Club,98,98,98,98,98
157,Delphin 1,Delphin 1,Club,98,98,98,98,98
158,DG 100 Club,DG 100 Club,Club,98,98,98,98,98
159,LS 1,LS 1(-0|-c|-d),Club,98,98,98,98,98
160,Panjo,Panjo V[12],Club,98,98,98,98,98
161,Std. Cirrus Top,Std. Cirrus Top,Schempp-Hirth,Club,98,98,98,98,98
162,Std. Libelle,Std. Libelle,Club,98,98,98,98,98
163,ASW 15,ASW 15,Alexander Schleicher,Club,98,98,98,98,98
164,D 38,D 38,Club,98,98,98,98,98
165,Astir CS,Astir CS( 77)?,Club,96,96,96,96,96
166,Club Libelle,Club Libelle,Club,96,96,96,96,96
167,Elfe,Elfe S[34],Club,96,96,96,96,96
168,IS 29 D,IS 29 D,Club,96,96,96,96,96
169,LS 1-0 FG,LS 1-0 FG,Club,96,96,96,96,96
170,Mistral C,Mistral C,Club,96,96,96,96,96
171,Phöbus B,Phöbus B,Club,96,96,96,96,96
172,Salto 15.5m,Salto 15.5m,Club,96,96,96,96,96
173,SHK,SHK,Schempp-Hirth,Club,96,96,96,96,96
174,VSO-10,VSO-10,Club,96,96,96,96,96
175,Mü 22b,Mü 22b,Club,95,95,95,95,95
176,Astir CS Top,Astir CS Top,Club,94,94,94,94,94
177,Elfe FG,,Club,94,94,94,94,94
178,Phöbus A,Phöbus A,Club,94,94,94,94,94
179,Silent 2,Silent 2,Club,94,94,94,94,94
180,TST-10,TST-10 Atlas( M)?,Club,94,94,94,94,94
181,VSO-10 C,VSO-10 C,Club,94,94,94,94,94
182,Apis WR,Apis WR,Club,93,93,93,93,93
183,Astir CS Jeans,Astir CS Jeans,Club,93,93,93,93,93
184,Carat,Carat,Club,93,93,93,93,93
185,ASK 23,ASK 23( B)?,Club,92,92,92,92,92
186,fs 25,fs 25,Club,92,92,92,92,92
187,Kiwi,Kiwi,Club,92,92,92,92,92
188,Phönix,Phönix,Club,92,92,92,92,92
189,G102 Club Astir,G102 Club Astir,Club,91,91,91,91,91
190,Std. Austria SH 1,Std. Austria SH 1,Club,90,90,90,90,90
191,SZD 51 Junior,SZD 51 Junior,Club,90,90,90,90,90
192,Zugvogel 3b,Zugvogel 3b,Club,90,90,90,90,90
193,ASK 18,ASK 18,Club,88,88,88,88,88
194,Foka,Foka,Club,88,88,88,88,88
195,Geier,Geier,Club,88,88,88,88,88
196,H101 Salto,H101 Salto,Club,88,88,88,88,88
197,Pik 16 Vasama,Pik 16 Vasama,Club,88,88,88,88,88
198,SB 5e,SB 5e,Club,88,88,88,88,88
199,SF 27 B,SF 27 B,Club,88,88,88,88,88
