Glider,Models,Manufacturer,Competition Class,2016,2017,2018,2019,2020
DG 200 17m,DG 200 17m,DG Flugzeugbau,18,109,109,109,109,109
DG 400 17m,DG 400 17m,DG Flugzeugbau,18,109,109,109,109,109
LS 3 17m,LS 3 17m,Rolladen-Schneider,18,109,109,109,109,109
Mosquito 17m,Mosquito 17m,Glasflügel,18,109,109,109,109,109
BS-1,BS-1,Glasflügel,18,108,108,108,108,108
D 36,D 36,Akaflieg Darmstadt,18,108,108,108,108,108
Diamant 18,Diamant 18,FFA,18,108,108,108,108,108
Mü 26,Mü 26,Akaflieg München,18,102,102,102,102,102
SZD-39 Cobra 17m,Cobra 17m,SZD,18,100,100,100,100,100
Std. Libelle 17m,Std. Libelle 17m,Glasflügel,18,100,100,100,100,100
Diana 2,Diana 2,PZL-Bielsko,15,114,116,116,116,115
JS3,JS3( FES| TJ)?,Jonker Sailplanes,15,-,116,116,116,115
Ventus 3 15m,Ventus 3[FEM]? 15m,Schempp-Hirth,15,-,116,116,116,115
Ventus 2,Ventus 2(a|b|ax)?,Schempp-Hirth,15,114,114,114,114,114
Ventus 2c 15m,Ventus 2c[TM]? 15m,Schempp-Hirth,15,114,114,114,114,114
ASW 27,ASW 27,Alexander Schleicher,15,114,114,114,114,114
ASG 29,ASG 29( E| Es)?,Alexander Schleicher,15,114,114,114,114,114
Mü 31,Mü 31,Akaflieg München,15,114,114,114,114,114
DG 800 15m,DG 80(0|0S|8) 15m,DG Flugzeugbau,15,113,113,113,113,113
LAK-17 15m,LAK-17(A|A T|B|B T|B FES) 15m,Sportinė Aviacija,15,113,113,113,113,113
LS 10 15m,LS 10 15m,Rolladen-Schneider,15,113,113,113,113,113
SZD 56 Diana,SZD 56 Diana,PZL Bielsko,15,112,112,112,112,112
LS 6,LS 6,Rolladen-Schneider,15,111,111,111,111,111
ASW 20,ASW 20,Alexander Schleicher,15,110,110,110,110,110
DG 600,DG 600M?,DG Flugzeugbau,15,110,110,110,110,110
Glasflügel 304,Glasflügel 304 (CZ)?,Glasflügel,15,110,110,110,110,110
Ventus 1,Ventus 1,Schempp-Hirth,15,110,110,110,110,110
Ventus 15m,Ventus( b| bT | cT | cM)? 15m,Schempp-Hirth,15,110,110,110,110,110
ASW 20 Top 15m,ASW 20 Top 15m,Alexander Schleicher,15,108,108,108,108,108
SB 11,SB 11,Akaflieg Braunschweig,15,108,108,108,108,108
fs 32,fs 32,Akaflieg Stuttgart,15,108,108,108,108,108
DG 200,DG 200,DG Flugzeugbau,15,107,107,107,107,107
DG 400,DG 400,DG Flugzeugbau,15,107,107,107,107,107
LS 3,LS 3a?,Rolladen-Schneider,15,107,107,107,107,107
Mini Nimbus,Mini Nimbus,Schempp-Hirth,15,107,107,107,107,107
Mosquito,Mosquito,Glasflügel,15,107,107,107,107,107
D 40,D 40,Akaflieg Darmstadt,15,106,106,106,106,106
G 104 Speed Astir 2,G 104 Speed Astir 2,Grob Aircraft,15,105,105,105,105,105
PIK-20 D/E,PIK-20 [DE],Eiri-Avion,15,104,104,104,104,104
PIK-20 B,PIK-20 B,Eiri-Avion,15,102,102,102,102,102
H-301,H-301,Glasflügel,15,100,100,100,100,100
LS 2,LS 2,Rolladen-Schneider,15,100,100,100,100,100
ASW 28,ASW 28( E)?,Alexander Schleicher,Standard,108,108,108,108,108
Discus 2,Discus 2(a|b|T|bT|c 15m|cT 15m)?,Schempp-Hirth,Standard,108,108,108,108,108
LAK-19 15m,LAK-19 15m,Sportinė Aviacija,Standard,108,108,108,108,108
LS 8,LS 8(T|e neo| neo)?,DG Flugzeugbau,Standard,108,108,108,108,108
AK 8,AK 8,Akaflieg Karlsruhe,Standard,107,107,107,107,107
ASW 24,ASW 24( B| E)?,Alexander Schleicher,Standard,107,107,107,107,107
Discus,Discus( a| b| bT| bM)?,Schempp-Hirth,Standard,107,107,107,107,107
Genesis,Genesis,Sportinė Aviacija,Standard,107,107,107,107,107
LS 7,LS 7,Rolladen-Schneider,Standard,107,107,107,107,107
SZD-55,SZD-55,PZL Bielsko,Standard,106,106,106,106,106
DG 303,DG 303,DG Flugzeugbau,Standard,105,105,105,105,105
AFH 24,AFH 24,Akaflieg Hannover,Standard,104,104,104,104,104
DG 300,DG 300,DG Flugzeugbau,Standard,104,104,104,104,104
HpH 304C Wasp,HpH 304C Wasp,HpH Sailplanes,Standard,104,104,104,104,104
LS 4,LS 4[ab]?,Rolladen-Schneider,Standard,104,104,104,104,104
Falkon,Falkon,Streifeneder,Club,103,103,103,103,103
